chord_symbol,voice_index,note_name,midi
F#maj9,2,C#4,61
F#maj9,3,F4,65
F#maj9,4,G#4,68
F#maj9#11,0,F#3,54
F#maj9#11,1,A#3,58
F#maj9#11,2,C#4,61
F#maj9#11,3,F4,65
F#maj9#11,4,G#4,68
F#maj9#11,5,C#5,73
F#sus2,0,F#3,54
F#sus2,1,G#3,56
F#sus2,2,C#4,61
F#sus4,0,F#3,54
F#sus4,1,B3,59
F#sus4,2,C#4,61
F/A,0,A3,57
F/A,1,C4,60
F/A,2,F4,65
F/C,0,C3,48
F/C,1,F3,53
F/C,2,A3,57
F11,0,F3,53
F11,1,A3,57
F11,2,C4,60
F11,3,Eb4,63
F11,4,G4,67
F11,5,Bb4,70
F13,0,F3,53
F13,1,A3,57
F13,2,C4,60
F13,3,Eb4,63
F13,4,G4,67
F13,5,Bb4,70
F13,6,D4,62
F13#11,0,F3,53
F13#11,1,A3,57
F13#11,2,C4,60
F13#11,3,Eb4,63
F13#11,4,G4,67
F13#11,5,C#4,61
F13#11,6,D4,62
F13#9,0,F3,53
F13#9,1,A3,57
F13#9,2,C4,60
F13#9,3,Eb4,63
F13#9,4,A4,69
F13#9,5,Bb4,70
F13#9,6,D4,62
F13b9,0,F3,53
F13b9,1,A3,57
F13b9,2,C4,60
F13b9,3,Eb4,63
F13b9,4,Gb4,66
F13b9,5,Bb4,70
F13b9,6,D4,62
F13sus4,0,F3,53
F13sus4,1,Bb3,58
F13sus4,2,C4,60
F13sus4,3,Eb4,63
F13sus4,4,G4,67
F13sus4,5,Bb4,70
F13sus4,6,D4,62
F6,0,F3,53
F6,1,A3,57
F6,2,C4,60
F6,3,D4,62
F7,0,F3,53
F7,1,A3,57
F7,2,C4,60
F7,3,Eb4,63
F7#5#9,0,F3,53
F7#5#9,1,A3,57
F7#5#9,2,C#4,61
F7#5#9,3,Eb4,63
F7#5#9,4,A4,69
F7alt,0,F3,53
F7alt,1,A3,57
F7alt,2,B3,59
F7alt,3,Eb4,63
F7alt,4,Gb4,66
F7alt,5,G#4,68
F7sus2,0,F3,53
F7sus2,1,G3,55
F7sus2,2,C4,60
F7sus2,3,Eb4,63
F7sus4,0,F3,53
F7sus4,1,Bb3,58
F7sus4,2,C4,60
F7sus4,3,Eb4,63
F9,0,F3,53
F9,1,A3,57
F9,2,C4,60
F9,3,Eb4,63
F9,4,G4,67
F9#5,0,F3,53
F9#5,1,A3,57
F9#5,2,C#4,61
F9#5,3,Eb4,63
F9#5,4,G4,67
F9b5,0,F3,53
F9b5,1,A3,57
F9b5,2,B3,59
F9b5,3,Eb4,63
F9b5,4,G4,67
Faug,0,F3,53
Faug,1,A3,57
Faug,2,C#4,61
Faug7,0,F3,53
Faug7,1,A3,57
Faug7,2,C#4,61
Faug7,3,Eb4,63
Fdim,0,F3,53
Fdim,1,Ab3,56
Fdim,2,B3,59
Fdim7,0,F3,53
Fdim7,1,Ab3,56
Fdim7,2,B3,59
